sourceId,time,responseTime,epsilon_T,burstiness
2,0.4000332852121055,0.00018543961070576368,,2
2,0.800008000000237,0.00018720000090039632,3.9608779379255296e-06,2
2,1.2000659677508376,0.00018315693620571697,5.266682277813993e-06,2
2,1.600176550753742,0.00018242483066981967,4.907333585422015e-06,2
1,1.6584416253064014,0.00023060031191305376,,2
2,2.0001213063396364,0.0001762111144653933,8.41702780226304e-06,2
2,2.4001193719487373,0.000181079949110674,7.004762059196867e-06,2
3,2.682119999998333,0.0002904900730839462,,2
2,2.8000371724302635,0.00018372013136882064,5.964876942431336e-06,2
2,3.200453825999183,0.00017928624047935227,5.5204608506483385e-06,2
1,3.304565924841775,0.000226593640065743,9.01501165646272e-06,2
2,3.6004722792501602,0.00018396288690427658,4.937829716911204e-06,2
2,4.000007999992335,0.0001910822969604153,5.867546478085171e-06,2
2,4.400572880164282,0.000195326288161978,7.22127606080484e-06,2
2,4.800007999997576,0.00019620304080366675,7.930871810668044e-06,2
1,4.9506799999985605,0.00023974909174399734,1.751918771274226e-05,2
